country,avg_salary
Sint Maarten (Dutch part),82487.2521246459
Suriname,82485.82834331338
Mauritania,82485.03392310762
Cameroon,82484.30948194237
Libya,82482.55813953489
"Venezuela, RB",82481.73901741617
El Salvador,82479.4908994988
Aruba,82479.17219421598
Angola,82478.21162046908
UAE,82477.48783126014
Spain,82476.02876548142
Andorra,82471.05369944542
Gambia,82470.75946017465
"Macedonia, FYR",82470.47619047618
India,82469.86172640623
Djibouti,82469.17173855517
Poland,82466.68905305574
Tanzania,82466.49993418454
Jamaica,82466.29213483146
Vietnam,82465.22421231534
Greenland,82464.36212891147
Tajikistan,82462.97275852949
Lebanon,82462.84912468262
Belize,82460.19833824712
Madagascar,82459.26571084015
Malaysia,82459.15588835943
Greece,82459.08064301846
"Bahamas, The",82457.65605791559
Slovenia,82456.43913692495
Austria,82455.47807429261
Cote d'Ivoire,82452.08530166015
Ireland,82451.78619392963
Argentina,82451.06382978724
Bangladesh,82450.8952080042
Serbia,82450.65745782973
Norway,82449.03562818108
Turks and Caicos Islands,82447.66206163655
Burkina Faso,82446.92737430168
"Macao SAR, China",82446.84452871073
Germany,82445.69658626599
Moldova,82445.1629932691
Eritrea,82444.83362521892
Georgia,82443.28201079089
St. Lucia,82442.1571274298
Uruguay,82441.03210400637
Romania,82440.71067340963
Niger,82440.71012332295
Portugal,82436.42518618822
Guinea-Bissau,82436.26270733013
Latvia,82435.6593260812
Equatorial Guinea,82435.20503886357
Egypt,82433.97606382979
Oman,82433.70424989946
Tonga,82433.22939262472
St. Martin (French part),82432.48583849295
UK,82432.22911442524
Peru,82428.98512570752
Curacao,82428.70431893687
Syrian Arab Republic,82428.31252517116
Cuba,82427.3470464135
Malawi,82427.17086834734
Nigeria,82427.07920137512
Isle of Man,82426.92154520111
West Bank and Gaza,82426.59518136087
Gabon,82426.54690618762
Benin,82425.50066755674
Mauritius,82425.47425474254
Somalia,82424.76264793861
Senegal,82420.83114150447
Maldives,82420.39295392953
Antigua and Barbuda,82419.7158557834
USA,82419.05530884134
Luxembourg,82418.96942998265
Namibia,82416.70014731486
Ecuador,82415.03444549507
Croatia,82414.31800053177
Liechtenstein,82409.51742627347
Papua New Guinea,82407.71925097669
Chile,82407.65917350922
Mozambique,82405.55927662425
Nauru,82404.98483449822
Belgium,82397.19063545151
Comoros,82394.15910014907
New Caledonia,82393.78308673816
Russia,82392.89996003729
Uganda,82391.08367626886
Thailand,82389.33547695605
Bhutan,82388.9566395664
"Micronesia, Fed. Sts.",82384.13234301147
Morocco,82382.87808127915
Kazakhstan,82381.18076195623
Paraguay,82372.52820172528
Cayman Islands,82368.35633283235
Rwanda,82366.5137614679
France,82359.63724959394
Lao PDR,82358.97435897436
Nicaragua,82356.19060190074
Palau,82355.17379145026
Slovak Republic,82346.87790003978
Indonesia,82344.76461038961
Guyana,82338.09969263665
Philippines,82330.4400484457
Democratic Republic Of Congo,82328.8390010627
Turkey,82319.6632996633
Japan,82304.38584689896
Trinidad and Tobago,82299.94700582935
Vanuatu,82270.7215665236
Israel,82254.9229738781
Sweden,82208.95620246526
